(Ensemble 1),(Ensemble 2),(Ensemble 3),(Ensemble 4),(Ensemble 5)
0.0989,0.6576,0.0592,0.8585,0.9037
0.3359,0.3532,0.346,0.1068,0.0819
0.8226,0.5888,0.6312,0.9001,0.7694
0.558,0.6518,0.2975,0.564,0.794
0.8994,0.0885,0.8553,0.1914,0.3959
0.2806,0.1431,0.275,0.6277,0.3614
0.8837,0.9128,0.0579,0.0646,0.2035
0.7569,0.3341,0.8761,0.4374,0.2069
0.1281,0.9074,0.1127,0.9142,0.8366
0.1829,0.5006,0.7405,0.4787,0.2693
0.8467,0.9234,0.7891,0.9119,0.7767
0.6715,0.646,0.7635,0.0767,0.0788
0.4137,0.5277,0.868,0.8434,0.9222
0.7736,0.3151,0.2482,0.8824,0.9112
0.8873,0.3999,0.6096,0.1545,0.066
0.059,0.6805,0.6853,0.7745,0.5403
0.4614,0.8417,0.3576,0.1316,0.3672
0.6019,0.1877,0.9156,0.6471,0.3609
0.7596,0.8934,0.0514,0.1542,0.0524
0.0671,0.1375,0.8706,0.6842,0.8631
0.8583,0.2316,0.4427,0.1375,0.2899
0.6099,0.8159,0.0737,0.7865,0.5811
0.1198,0.8879,0.9149,0.6848,0.4227
0.8059,0.0915,0.8833,0.6146,0.7929
0.1607,0.7241,0.2959,0.1299,0.0657
0.4429,0.3474,0.4114,0.0671,0.2104
0.1285,0.0571,0.1005,0.4876,0.7494
0.3586,0.6012,0.1983,0.0869,0.0832
0.8912,0.0799,0.3063,0.3572,0.6081
0.6712,0.2189,0.1104,0.1214,0.3236
0.3777,0.0554,0.0576,0.414,0.6903
0.3941,0.6202,0.1501,0.8984,0.7899
0.0653,0.9156,0.8543,0.4677,0.2185
0.191,0.4816,0.7892,0.0626,0.123
0.1125,0.5939,0.1818,0.9151,0.783
0.6397,0.2002,0.8404,0.141,0.3452
0.3159,0.2385,0.0772,0.7992,0.9164
0.1228,0.0771,0.5082,0.3091,0.5737
0.0814,0.2724,0.0801,0.8108,0.9194
0.742,0.8148,0.5666,0.7783,0.5421
0.3166,0.1215,0.9245,0.2061,0.4434
0.8323,0.0654,0.0603,0.4112,0.6777
0.0708,0.0719,0.1536,0.5856,0.8156
0.0699,0.8883,0.288,0.6693,0.4405
0.1326,0.1251,0.9013,0.1879,0.4289
0.2116,0.6775,0.0623,0.1077,0.0484
0.0989,0.0999,0.367,0.5946,0.7946
0.2103,0.077,0.2819,0.6031,0.8061
0.7429,0.3235,0.6299,0.8958,0.908
0.9381,0.4531,0.7225,0.8954,0.8883
0.7114,0.0641,0.1758,0.4564,0.7268
0.5136,0.4585,0.7554,0.8967,0.8838
0.229,0.9043,0.8984,0.6662,0.3884
0.525,0.8893,0.1918,0.3166,0.1191
0.2665,0.4882,0.0778,0.0774,0.1083
0.072,0.2765,0.0687,0.085,0.2327
0.0756,0.0966,0.0934,0.2732,0.5519
0.2698,0.2815,0.7693,0.079,0.2322
0.5384,0.4644,0.2852,0.9033,0.8362
0.79,0.1516,0.058,0.7283,0.9078
0.2464,0.0809,0.901,0.5599,0.7697
0.2549,0.1049,0.3172,0.2212,0.4928
0.0967,0.7745,0.7235,0.8591,0.6373
0.9113,0.6389,0.0749,0.1144,0.0713
0.7949,0.455,0.498,0.9094,0.878
0.1589,0.1046,0.6271,0.2513,0.5056
0.5042,0.1994,0.2697,0.7909,0.9066
0.3357,0.874,0.6458,0.3062,0.116
0.924,0.5988,0.0684,0.0836,0.076
0.8353,0.368,0.0726,0.869,0.8954
0.0621,0.2565,0.6819,0.0855,0.2707
0.2463,0.1727,0.8592,0.2238,0.452
0.6756,0.8701,0.2373,0.3466,0.1237
0.0769,0.9116,0.8308,0.0702,0.083
0.9182,0.5213,0.4475,0.8883,0.7889
0.0799,0.6191,0.073,0.7282,0.8956
0.8506,0.1576,0.1697,0.2437,0.5095
0.438,0.1051,0.2288,0.05,0.1386
0.116,0.4193,0.5461,0.5153,0.7665
0.9185,0.0554,0.2596,0.2428,0.0679
0.9084,0.8269,0.3319,0.5602,0.7997
0.3629,0.0796,0.0589,0.1175,0.0545
0.8455,0.6644,0.1856,0.1474,0.3488
0.8199,0.2031,0.476,0.4671,0.7273
0.2691,0.0404,0.4828,0.1989,0.0566
0.064,0.7812,0.8449,0.1938,0.0688
0.9029,0.7582,0.8015,0.9055,0.8108
0.5002,0.6142,0.2856,0.5443,0.2745
0.7377,0.9164,0.7914,0.0932,0.0565
0.5763,0.6086,0.4529,0.9033,0.8511
0.0603,0.4785,0.7443,0.7442,0.8803
0.7997,0.1664,0.8897,0.4721,0.2159
0.8286,0.9206,0.2067,0.8755,0.6843
0.0784,0.6851,0.9171,0.0713,0.0949
0.345,0.5082,0.3869,0.8371,0.6325
0.8344,0.7844,0.2634,0.6922,0.8475
0.4659,0.1221,0.8371,0.1009,0.0613
0.3417,0.9194,0.507,0.5614,0.3256
0.6758,0.2241,0.8433,0.7877,0.898
0.8467,0.6071,0.3497,0.9201,0.8194
0.3864,0.6264,0.0843,0.1057,0.0581
0.2869,0.2617,0.8056,0.1204,0.2565
0.8,0.5502,0.1664,0.9236,0.8065
0.3009,0.4494,0.3329,0.0614,0.1653
0.5548,0.6365,0.8405,0.1036,0.0541
0.119,0.6077,0.0577,0.8972,0.7997
0.9298,0.1201,0.3226,0.1865,0.4321
0.8627,0.6239,0.7835,0.0973,0.056
0.1696,0.5243,0.8957,0.9195,0.847
0.2743,0.7617,0.1632,0.8737,0.6831
0.7846,0.0517,0.5651,0.4157,0.65
0.8492,0.8453,0.3933,0.2518,0.1053
0.4168,0.6783,0.679,0.1496,0.0558
0.8348,0.3825,0.0667,0.8979,0.914
0.8804,0.1082,0.8769,0.2482,0.4871
0.1792,0.9003,0.357,0.636,0.3998
0.609,0.671,0.8638,0.1391,0.0723
0.7298,0.6221,0.3197,0.9058,0.7427
0.1146,0.6346,0.7928,0.1095,0.0515
0.0867,0.9257,0.6983,0.505,0.2621
0.9083,0.4216,0.1128,0.8914,0.8963
0.1039,0.3543,0.8969,0.069,0.1739
0.0768,0.8792,0.1888,0.6891,0.4321
0.1028,0.0709,0.5291,0.8168,0.9336
0.2055,0.2581,0.5601,0.2855,0.1074
0.1556,0.8403,0.1966,0.8332,0.9011
0.5616,0.2696,0.1775,0.4578,0.7131
0.373,0.0433,0.1024,0.4758,0.7038
0.7791,0.0562,0.6685,0.3037,0.5535
0.124,0.0823,0.1067,0.8782,0.8944
0.9152,0.3582,0.8325,0.0732,0.2076
0.7989,0.3234,0.2781,0.9104,0.799
0.8789,0.5851,0.1569,0.0692,0.0585
0.2331,0.5539,0.6117,0.3996,0.6785
0.4046,0.0568,0.8664,0.316,0.1177
0.8977,0.859,0.7711,0.6498,0.3576
0.4048,0.8988,0.073,0.4837,0.2236
0.5462,0.942,0.0704,0.2344,0.4465
0.2181,0.1013,0.5266,0.1331,0.3193
0.8404,0.1736,0.0722,0.2196,0.0902
0.0526,0.7837,0.9062,0.137,0.3241
0.3006,0.1895,0.7207,0.8374,0.6203
0.1307,0.7889,0.3737,0.9023,0.9003
0.5767,0.4648,0.308,0.1178,0.0567
0.2431,0.6656,0.8101,0.6375,0.8374
0.6109,0.0983,0.1416,0.9138,0.8369
0.1722,0.5637,0.9242,0.8197,0.6001
0.057,0.0522,0.7232,0.8985,0.8835
,0.8174,0.1482,0.0637,0.1602
,0.4047,0.1143,0.7131,0.89
,0.3588,0.4244,,
,0.0727,,,
,0.1587,,,
